"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g__Burkholderia","no_IgA",3.09223942003729,0.0502611596287704,0.0914462374945529,0.549625233424878,0.582576447852057,0.987422221485336
"k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__","no_IgA",15.5240318908778,-0.313247111925101,0.0789721043810012,-3.96655394180506,7.2919278249725e-05,0.00050739664448767
"g__Acidovorax","no_IgA",1.20296156084259,-0.341302667232099,0.16177433952438,-2.10974539123779,0.0348802924509029,0.109905827156619
"g__Comamonas","no_IgA",2.018990578918,-0.00683818969051636,0.113863813553742,-0.0600558639052508,0.952111141978011,0.998644113602911
"g__Delftia","no_IgA",2.05268524775757,-0.0216876441079104,0.113413526264201,-0.191226256887457,0.848348333161662,0.998644113602911
"g__Pelomonas","no_IgA",1.16938194147094,-0.205523977387297,0.155451235430803,-1.32211221620547,0.186130786460343,0.480881246359651
"k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_g__","no_IgA",3.02728936786789,0.0115671431629624,0.0928470659529307,0.124582753846271,0.900853882449235,0.998644113602911
"g__Oxalobacter","no_IgA",2.18501884439139,0.150389823039468,0.107236847481917,1.40240809545271,0.160793417300984,0.447541678154407
"g__Ralstonia","no_IgA",3.12342230922714,0.0359794650789413,0.0913024819508835,0.394068861110441,0.693530199986437,0.998644113602911
"k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Ellin6067_f___g__","no_IgA",1.04190122973716,0.183049666778277,0.15410772595651,1.18780330864096,0.234910910575371,0.557896393462266
"k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__","no_IgA",4.14135172995365,-0.0431444740622353,0.0802733358908771,-0.537469554284944,0.590943309857398,0.987422221485336
"g__Dechloromonas","no_IgA",2.86080466760085,-0.507834113714601,0.131534916624959,-3.86083122827812,0.000113001939937373,0.000690234618555417
"g__Petrobacter","no_IgA",1.03950873508445,-0.0641388771958476,0.160198204642281,-0.400372010030126,0.68888253679886,0.998644113602911
